70_100,70_80,70_50,70_30,70_0,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-26.58013721,,-29.2305529,,-30.42453754,-18.53361072,,-19.47004264,-19.66353086,,-11.80606081,-11.94077639,,,-7.051935204,,,-6.875408466,-6.869504916
-28.5615798,,-30.97307967,,-32.08799808,-19.62754911,,-20.39921801,-20.56733354,,-12.40088534,-12.45140605,,,-7.385063152,,,-7.094125376,-7.077539315
-32.9162178,,-34.70486918,,-35.59292695,-21.91413168,,-22.28575405,-22.3872178,,-13.59521169,-13.45355258,,,-8.035884905,,,-7.494856423,-7.454690651
-38.51025642,,-39.23182853,,-39.72487766,-24.56600146,,-24.33374403,-24.33421122,,-14.86055903,-14.45553367,,,-8.681024584,,,-7.824043835,-7.754256725
-43.46902106,,-42.77503405,,-42.74812422,-26.44526716,,-25.54001229,-25.42859605,,-15.55361798,-14.89355699,,,-8.955203994,,,-7.831423239,-7.737386138
-46.00258831,,-43.95519433,,-43.44469451,-26.79474137,,-25.3687197,-25.17362245,,-15.36203938,-14.54153485,,,-8.72175718,,,-7.471000457,-7.366704278
-46.06860296,,-43.1608615,,-42.3552072,-26.01073441,,-24.33233317,-24.09872341,,-14.64716904,-13.77647879,,,-8.230911713,,,-6.977310691,-6.874312083
-45.470218,,-42.25520246,,-41.35587681,-25.32347697,,-23.58685291,-23.34695827,,-14.15112401,-13.28039231,,,-7.915972743,,,-6.688537095,-6.588883824
-44.44974544,,-41.00080142,,-40.02749134,-24.43251557,,-22.66977528,-22.42704488,,-13.55156708,-12.69621434,,,-7.547066527,,,-6.363018786,-6.268109423
-40.6346811,,-37.01142387,,-36.00790876,-21.76641243,,-20.10165432,-19.8803746,,-11.90196623,-11.13363917,,,-6.569779764,,,-5.536612081,-5.45725479
-32.04099578,,-29.04215267,,-28.28665255,-16.74558871,,-15.52742995,-15.38357995,,-9.035858853,-8.488077869,,,-4.941287226,,,-4.210766827,-4.16040382
-19.50404618,,-18.12212541,,-17.90759077,-10.19038829,,-9.702328824,-9.673888487,,-5.495715272,-5.249821481,,,-2.99385193,,,-2.637011606,-2.619422143
-8.136932523,,-8.124645137,,-8.303045927,-4.448186325,,-4.479304131,-4.518460604,,-2.450431588,-2.416101903,,,-1.343169792,,,-1.251471352,-1.253120843
-1.978230618,,-2.149049564,,-2.274527401,-1.154646493,,-1.236133181,-1.263720614,,-0.6566329919,-0.6696621656,,,-0.3643112759,,,-0.3598068476,-0.3631266475
-0.04768076208,,-0.0363194868,,-0.04898222104,-0.02498287468,,-0.02013089636,-0.01606054433,,-0.01155698059,-0.009550063385,,,-0.005546156303,,,-0.002930354973,-0.002554973828
1.227567552,,1.597952582,,1.839802907,0.8388446895,,1.009194695,1.051995581,,0.5116854169,0.5537496188,,,0.2919358149,,,0.316462901,0.3229893931
2.372964979,,3.585896229,,4.371758177,1.873058908,,2.503055174,2.668111387,,1.229015616,1.412282963,,,0.7238088224,,,0.8687962032,0.8975764034
1.983587316,,3.559016618,,4.512379891,1.923738172,,2.987663437,3.260979441,,1.435573982,1.822382194,,,0.8957099408,,,1.287827092,1.35714573
1.461501992,,2.190139232,,1.813515581,1.407863341,,2.126246306,2.231029053,,1.14020779,1.571247274,,,0.7497209972,,,1.344269027,1.446380746
1.192690776,,1.113618336,,-0.8391541455,1.036940343,,0.976389601,0.6717341405,,0.8208921535,1.104654918,,,0.5382838268,,,1.13669401,1.231532695
1.102433405,,0.5597123931,,-2.027796588,0.8666348093,,0.2545795817,-0.3445367714,,0.6458881265,0.7757825306,,,0.4071983579,,,0.9038604602,0.963918933
1.072310381,,0.3356951239,,-2.32215851,0.8001546897,,-0.01376389153,-0.710063727,,0.5816996456,0.6434513969,,,0.3584182721,,,0.789139859,0.8258364917
1.042069264,,0.1863861944,,-2.523047611,0.757867307,,-0.2438034126,-1.011179156,,0.5307703132,0.5240466488,,,0.3170381282,,,0.6741544016,0.6838842036
0.9848971426,,-0.1091955844,,-2.612884448,0.6684207958,,-0.6120227428,-1.434559438,,0.4431009516,0.3092979937,,,0.2493011307,,,0.4357861313,0.3794197149
0.9187672813,,-0.3499363319,,-2.378173397,0.5798608071,,-0.8750591558,-1.628464639,,0.3666103617,0.1046663087,,,0.1962100169,,,0.1629542961,0.01730465482
0.8356264042,,-0.4716495976,,-1.969423213,0.5044450887,,-0.9465309478,-1.552732033,,0.3140584037,-0.03033957766,,,0.1728036641,,,-0.04978371935,-0.2700827352
