70_100,70_80,70_50,70_30,70_0,60_100,60_80,60_50,60_30,60_0,50_100,50_80,50_50,50_30,50_0,40_100,40_80,40_50,40_30,40_0
-1.081496841,-0.05544626723,-0.26690918,-0.8536199501,-0.8391541455,0.6871644787,0.5162605076,0.7388304954,-0.6682142291,-0.1135072332,0.9820900668,0.5887802824,0.6016040937,0.6708578638,0.7818538246,0.5004298038,0.5561267853,0.8740164515,0.7748893455,0.9614593991
-1.019735942,-0.3113685095,-0.9038651857,-1.634376115,-2.027796588,0.5993262967,0.3316627539,0.2828002164,-1.863020576,-0.9443611156,0.8501792992,0.4019957436,0.2141556942,0.1613265018,0.1552586747,0.3900041539,0.4311819538,0.6582775622,0.4646566899,0.6413688714
-0.9885878268,-0.4261440784,-1.191924247,-1.979620578,-2.32215851,0.5606989573,0.2505532543,0.08115582367,-2.399125345,-1.319561965,0.7893622258,0.3177602289,0.03822908463,-0.0702823817,-0.1310537663,0.3406679805,0.3755807368,0.5605059119,0.3222782968,0.4934313711
-0.9160741836,-0.4943567972,-1.362911288,-2.095372485,-2.523047611,0.5647425214,0.2075358273,-0.5201838895,-2.849205327,-1.443929846,0.7638866249,0.2715334211,-0.08337907287,-0.2268822599,-0.3165383547,0.3181178665,0.3424041889,0.4813472043,0.1960942131,0.3572415683
-0.7628574961,-0.643274445,-1.733430392,-2.340217821,-2.612884448,0.572086038,0.1188851214,-1.823811898,-3.801768284,-1.706703744,0.7084875017,0.1702911263,-0.3457198585,-0.56214142,-0.7154602064,0.2699769904,0.2725890616,0.3116912156,-0.07699212297,0.0607112663
-0.4950248564,-0.7156254328,-1.96208719,-2.377745373,-2.378173397,0.6082215263,0.07656445144,-3.641913981,-3.819241525,-1.657997344,0.696281128,0.1049590379,-0.5701912448,-0.7749498603,-0.939693792,0.2592678822,0.2269883977,0.1450523316,-0.3440255284,-0.2283541685
-0.2110842171,-0.6827849813,-1.904204777,-2.242762193,-1.969423213,0.5809118436,0.0704982049,-4.386891517,-2.420722275,-1.484917379,0.6843254943,0.08497234061,-0.6982910238,-0.7915303056,-0.9727352506,0.279730435,0.2006340777,0.02252297928,-0.520605973,-0.4034276215
-0.02152168251,-0.6166726277,-1.684303161,-1.95416629,-1.607480806,0.5111188403,0.0649486673,-3.839543049,-0.8703914098,-1.292812169,0.6458772911,0.08601007938,-0.7397092668,-0.7019711619,-0.9276017259,0.3079291481,0.1797479398,-0.04323822095,-0.5969623833,-0.4678083777
0.07810614963,-0.5496543749,-1.514737779,-1.688527867,-1.381480683,0.4673729948,0.06548743385,-3.082330696,-0.1335455702,-1.141167571,0.6194482647,0.09409336101,-0.7311284332,-0.6284961577,-0.870913488,0.3292021234,0.1618803472,-0.06913206222,-0.6085245557,-0.4784781155
0.1223700608,-0.5186519785,-1.435648647,-1.5673026,-1.278500749,0.4468617047,0.06565632235,-2.741559041,0.2001485655,-1.071454822,0.607856465,0.09835529337,-0.7262113681,-0.5953794247,-0.8447285341,0.3389099251,0.1533960512,-0.08108391297,-0.6132054818,-0.4828592449
0.1654012358,-0.4657416806,-1.367115218,-1.466439302,-1.195916394,0.4417269025,0.07594661089,-2.417581473,0.307172085,-1.008403195,0.606817925,0.111820494,-0.7034897701,-0.5723494146,-0.8107730073,0.349843118,0.1434868719,-0.08725106874,-0.603813501,-0.4781263935
